back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0.0,62.0,58.0,46.0,8.0,42.0,78.0,22.0
0.0,48.0,46.0,56.0,8.0,30.0,62.0,24.0
0.0,64.0,54.0,70.0,0.0,36.0,110.0,38.0
0.0,74.0,69.0,54.0,8.0,45.0,88.0,56.0
10.0,55.0,55.0,67.0,10.0,36.0,72.0,30.0
0.0,53.0,46.0,90.0,8.0,26.0,145.0,58.0
4.0,44.0,37.0,62.0,5.0,33.0,106.0,30.0
0.0,60.0,62.0,62.0,6.0,63.0,92.0,29.0
4.0,50.0,45.0,86.0,15.0,82.0,125.0,73.0
0.0,58.0,52.0,76.0,20.0,65.0,116.0,33.0
2.0,87.0,74.0,86.0,16.0,92.0,133.0,76.0
0.0,69.0,57.0,60.0,12.0,77.0,99.0,54.0
0.0,54.0,52.0,82.0,4.0,79.0,93.0,50.0
4.0,72.0,71.0,54.0,17.0,83.0,99.0,53.0
2.0,63.0,65.0,50.0,6.0,69.0,89.0,40.0
0.0,50.0,42.0,70.0,20.0,89.0,91.0,39.0
0.0,75.0,68.0,62.0,12.0,95.0,90.0,45.0
0.0,57.0,49.0,82.0,16.0,69.0,135.0,44.0
0.0,55.0,51.0,60.0,16.0,80.0,110.0,53.0
0.0,53.0,51.0,56.0,14.0,70.0,100.0,24.0
0.0,55.0,54.0,69.0,16.0,90.0,107.0,55.0
4.0,61.0,59.0,96.0,24.0,113.0,109.0,63.0
0.0,53.0,54.0,102.0,12.0,105.0,114.0,47.0
4.0,54.0,42.0,70.0,10.0,76.0,108.0,57.0
0.0,70.0,62.0,76.0,16.0,84.0,100.0,51.0
0.0,54.0,48.0,54.0,6.0,43.0,75.0,29.0
0.0,51.0,50.0,62.0,10.0,56.0,82.0,32.0
0.0,47.0,42.0,62.0,6.0,46.0,92.0,30.0
0.0,60.0,56.0,60.0,4.0,44.0,88.0,41.0
0.0,52.0,50.0,62.0,11.0,52.0,71.0,51.0
0.0,56.0,53.0,50.0,0.0,46.0,96.0,35.0
0.0,73.0,71.0,54.0,14.0,72.0,114.0,68.0
0.0,47.0,41.0,60.0,10.0,38.0,54.0,31.0
0.0,53.0,44.0,54.0,2.0,29.0,94.0,37.0
0.0,49.0,50.0,48.0,6.0,49.0,75.0,27.0
0.0,70.0,66.0,42.0,2.0,47.0,71.0,26.0
0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
14.9762,44.5952,74.8095,21.7381,1.3571,41.1667,68.4762,5.5476
9.0,25.0,26.0,16.0,4.0,25.0,32.0,25.0
0.0,57.0,48.0,58.0,6.0,43.0,97.0,28.0
0.0,49.0,50.0,76.0,10.0,46.0,117.0,46.0
