id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
56b6b,2019-05-21,06-12,5,0.29,1.08,7,0,0.0,0.0,0,16,1.46,3.84,35,2,0.17,0.56,4,9,0.5,1.87,12,11,1.0,2.73,24,9,0.79,2.54,19
56b6b,2019-05-21,12-18,5,0.46,1.28,11,0,0.0,0.0,0,9,0.83,2.53,20,4,0.42,1.02,10,8,1.0,2.04,24,11,1.33,2.88,32,13,1.75,3.87,42
56b6b,2019-05-21,18-24,2,0.17,0.56,4,0,0.0,0.0,0,16,1.33,3.77,32,0,0.0,0.0,0,8,0.5,1.69,12,15,1.33,3.63,32,14,1.04,3.13,25
56b6b,2019-05-22,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.21,0.59,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-22,06-12,0,0.0,0.0,0,0,0.0,0.0,0,12,1.33,3.09,32,0,0.0,0.0,0,4,0.33,0.96,8,13,0.88,2.8,21,13,0.79,2.73,19
56b6b,2019-05-22,12-18,7,0.62,1.58,15,0,0.0,0.0,0,12,1.62,3.8,39,5,0.62,1.38,15,8,0.75,2.03,18,14,1.79,3.92,43,16,2.71,5.35,65
56b6b,2019-05-22,18-24,4,0.46,1.1,11,0,0.0,0.0,0,12,1.17,2.84,28,6,0.42,1.44,10,4,0.33,1.13,8,10,1.12,2.85,27,20,2.17,5.13,52
56b6b,2019-05-23,00-06,0,0.0,0.0,0,0,0.0,0.0,0,4,0.21,0.83,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-23,06-12,8,0.5,1.69,12,0,0.0,0.0,0,15,1.79,4.1,43,0,0.0,0.0,0,6,0.67,1.74,16,18,1.42,4.18,34,17,1.42,4.18,34
56b6b,2019-05-23,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-23,18-24,6,0.67,1.63,16,0,0.0,0.0,0,11,1.5,3.06,36,4,0.25,0.9,6,12,0.67,2.48,16,12,1.62,3.42,39,15,1.79,4.23,43
56b6b,2019-05-24,00-06,0,0.0,0.0,0,0,0.0,0.0,0,5,0.46,1.18,11,0,0.0,0.0,0,2,0.08,0.41,2,4,0.17,0.82,4,2,0.08,0.41,2
56b6b,2019-05-24,06-12,6,0.58,1.47,14,0,0.0,0.0,0,18,2.0,4.42,48,0,0.0,0.0,0,3,0.38,0.88,9,16,2.0,4.16,48,14,2.29,4.72,55
56b6b,2019-05-24,12-18,3,0.42,1.02,10,0,0.0,0.0,0,10,1.12,2.76,27,2,0.29,0.69,7,8,0.83,1.86,20,13,1.88,3.97,45,18,2.46,5.11,59
56b6b,2019-05-24,18-24,2,0.17,0.48,4,0,0.0,0.0,0,16,1.33,3.86,32,0,0.0,0.0,0,2,0.08,0.41,2,5,0.62,1.47,15,15,1.08,3.24,26
56b6b,2019-05-25,00-06,0,0.0,0.0,0,0,0.0,0.0,0,3,0.42,0.97,10,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-25,06-12,2,0.25,0.68,6,0,0.0,0.0,0,16,1.83,4.52,44,0,0.0,0.0,0,2,0.08,0.41,2,11,1.21,3.04,29,11,1.04,2.79,25
56b6b,2019-05-25,12-18,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,0,0.0,0.0,0,2,0.08,0.41,2,5,0.21,1.02,5,2,0.08,0.41,2
56b6b,2019-05-25,18-24,8,0.67,1.76,16,0,0.0,0.0,0,21,1.42,4.39,34,6,0.5,1.38,12,6,0.42,1.44,10,9,1.25,2.79,30,17,2.33,5.21,56
56b6b,2019-05-26,00-06,0,0.0,0.0,0,0,0.0,0.0,0,3,0.21,0.72,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-26,06-12,8,0.42,1.67,10,0,0.0,0.0,0,15,1.25,3.96,30,2,0.08,0.41,2,2,0.08,0.41,2,12,0.88,3.0,21,10,0.62,2.24,15
56b6b,2019-05-26,12-18,3,0.21,0.66,5,0,0.0,0.0,0,6,0.67,1.71,16,8,0.42,1.67,10,8,0.5,1.69,12,7,0.75,1.92,18,16,1.54,3.96,37
56b6b,2019-05-26,18-24,15,0.96,3.18,23,0,0.0,0.0,0,15,1.75,4.18,42,5,0.29,1.08,7,4,0.17,0.82,4,13,1.46,3.41,35,17,2.08,4.94,50
56b6b,2019-05-27,00-06,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-27,06-12,0,0.0,0.0,0,0,0.0,0.0,0,19,2.25,5.53,54,0,0.0,0.0,0,2,0.08,0.41,2,8,0.62,1.86,15,6,0.42,1.35,10
56b6b,2019-05-27,12-18,5,0.58,1.5,14,0,0.0,0.0,0,13,1.04,3.06,25,13,0.88,2.95,21,2,0.25,0.68,6,7,1.21,2.25,29,18,3.12,5.95,75
56b6b,2019-05-27,18-24,2,0.17,0.56,4,0,0.0,0.0,0,10,1.04,2.76,25,2,0.08,0.41,2,2,0.08,0.41,2,5,0.54,1.47,13,4,0.29,0.91,7
56b6b,2019-05-28,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.38,0.77,9,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-28,06-12,8,0.58,1.72,14,0,0.0,0.0,0,18,1.71,4.34,41,6,0.33,1.27,8,6,0.42,1.44,10,10,0.92,2.3,22,16,1.54,3.82,37
56b6b,2019-05-28,12-18,4,0.33,0.96,8,0,0.0,0.0,0,14,0.96,3.01,23,2,0.25,0.68,6,4,0.46,1.1,11,12,1.29,3.01,31,17,1.42,4.04,34
56b6b,2019-05-28,18-24,7,0.67,1.69,16,0,0.0,0.0,0,7,0.92,1.86,22,4,0.25,0.9,6,2,0.17,0.56,4,9,1.46,3.13,35,14,1.79,4.12,43
56b6b,2019-05-29,00-06,0,0.0,0.0,0,0,0.0,0.0,0,4,0.33,1.01,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-29,06-12,8,0.5,1.79,12,0,0.0,0.0,0,15,1.46,3.41,35,0,0.0,0.0,0,8,0.58,1.82,14,11,1.12,3.14,27,9,0.88,2.44,21
56b6b,2019-05-29,12-18,4,0.5,1.18,12,0,0.0,0.0,0,18,2.79,5.96,67,2,0.17,0.56,4,6,0.75,1.78,18,18,2.46,4.76,59,17,3.0,5.72,72
56b6b,2019-05-29,18-24,3,0.5,1.06,12,0,0.0,0.0,0,10,1.33,2.66,32,6,0.33,1.27,8,0,0.0,0.0,0,9,1.29,2.49,31,16,2.58,5.27,62
56b6b,2019-05-30,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-30,06-12,4,0.33,1.13,8,0,0.0,0.0,0,11,0.46,2.25,11,2,0.08,0.41,2,5,0.29,1.08,7,11,0.62,2.36,15,11,0.71,2.51,17
56b6b,2019-05-30,12-18,8,0.75,2.01,18,0,0.0,0.0,0,9,0.83,2.14,20,10,0.42,2.04,10,2,0.17,0.56,4,13,1.29,3.33,31,17,1.79,4.87,43
56b6b,2019-05-30,18-24,5,0.67,1.43,16,0,0.0,0.0,0,11,1.0,2.52,24,2,0.17,0.56,4,3,0.17,0.64,4,9,1.33,2.97,32,16,1.96,4.04,47
56b6b,2019-05-31,00-06,0,0.0,0.0,0,0,0.0,0.0,0,5,0.58,1.41,14,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-31,06-12,8,0.83,2.18,20,0,0.0,0.0,0,22,2.58,5.65,62,4,0.17,0.82,4,6,0.58,1.61,14,12,1.71,3.63,41,21,2.04,5.1,49
56b6b,2019-05-31,12-18,3,0.21,0.66,5,0,0.0,0.0,0,7,0.54,1.56,13,2,0.08,0.41,2,24,1.25,4.93,30,11,1.25,3.26,30,22,2.0,5.57,48
56b6b,2019-05-31,18-24,3,0.38,0.88,9,0,0.0,0.0,0,13,1.5,3.71,36,6,0.25,1.22,6,6,0.54,1.41,13,10,1.5,3.04,36,19,2.42,5.16,58
56b6b,2019-06-01,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-01,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-01,12-18,3,0.38,0.82,9,0,0.0,0.0,0,19,1.71,4.13,41,12,0.67,2.5,16,4,0.58,1.25,14,10,1.71,3.25,41,18,2.46,5.43,59
56b6b,2019-06-01,18-24,5,0.46,1.41,11,0,0.0,0.0,0,11,1.62,3.41,39,10,0.67,2.1,16,4,0.42,1.18,10,17,2.04,4.53,49,21,3.21,6.95,77
56b6b,2019-06-02,00-06,0,0.0,0.0,0,0,0.0,0.0,0,3,0.21,0.72,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-02,06-12,2,0.17,0.56,4,0,0.0,0.0,0,16,0.92,3.37,22,2,0.08,0.41,2,2,0.08,0.41,2,6,0.42,1.44,10,7,0.54,1.84,13
