id,day,quarter,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0cda9,2019-04-22,06-12,4.0,17.0,9,24.0,4.0,31.0,25.0,42.0
0cda9,2019-04-22,12-18,2.0,7.0,5,14.0,6.0,27.0,21.0,30.0
0cda9,2019-04-22,18-24,2.0,6.0,7,8.0,0.0,15.0,12.0,19.0
0cda9,2019-04-23,00-06,0.0,1.0,15,12.0,0.0,10.0,8.0,9.0
0cda9,2019-04-23,06-12,4.0,19.0,5,29.0,8.0,34.0,18.0,26.0
0cda9,2019-04-23,12-18,2.0,5.0,3,30.0,2.0,30.0,25.0,38.0
0cda9,2019-04-23,18-24,4.0,7.0,7,8.0,2.0,21.0,11.0,19.0
0cda9,2019-04-24,00-06,0.0,1.0,24,20.0,0.0,16.0,11.0,4.0
0cda9,2019-04-24,06-12,12.0,29.0,14,26.0,10.0,46.0,31.0,28.0
0cda9,2019-04-24,12-18,0.0,8.0,5,6.0,24.0,60.0,27.0,51.0
0cda9,2019-04-24,18-24,2.0,10.0,6,12.0,0.0,23.0,15.0,23.0
0cda9,2019-04-25,00-06,0.0,0.0,12,12.0,0.0,12.0,6.0,4.0
0cda9,2019-04-25,06-12,6.0,17.0,6,24.0,8.0,34.0,27.0,23.0
0cda9,2019-04-25,12-18,2.0,10.0,6,20.0,4.0,31.0,16.0,39.0
0cda9,2019-04-25,18-24,4.0,8.0,8,8.0,4.0,31.0,21.0,22.0
0cda9,2019-04-26,00-06,0.0,1.0,4,8.0,0.0,7.0,6.0,7.0
0cda9,2019-04-26,06-12,8.0,26.0,13,24.0,16.0,49.0,30.0,29.0
0cda9,2019-04-26,12-18,0.0,11.0,3,2.0,4.0,14.0,3.0,8.0
0cda9,2019-04-26,18-24,0.0,1.0,1,0.0,2.0,3.0,3.0,1.0
0cda9,2019-04-27,00-06,0.0,9.0,12,4.0,0.0,10.0,8.0,6.0
0cda9,2019-04-27,06-12,4.0,22.0,16,30.0,11.0,45.0,28.0,44.0
0cda9,2019-04-27,12-18,4.0,6.0,13,16.0,9.0,30.0,24.0,44.0
0cda9,2019-04-27,18-24,4.0,6.0,9,12.0,2.0,25.0,20.0,29.0
0cda9,2019-04-28,00-06,0.0,0.0,17,10.0,0.0,9.0,13.0,8.0
0cda9,2019-04-28,06-12,2.0,11.0,11,10.0,2.0,23.0,10.0,19.0
0cda9,2019-04-28,12-18,2.0,6.0,10,12.0,4.0,21.0,18.0,16.0
0cda9,2019-04-28,18-24,3.0,6.0,6,8.0,0.0,19.0,18.0,19.0
0cda9,2019-04-29,00-06,0.0,0.0,11,10.0,0.0,8.0,6.0,4.0
0cda9,2019-04-29,06-12,4.0,20.0,14,36.0,17.0,47.0,30.0,35.0
0cda9,2019-04-29,12-18,4.0,4.0,2,4.0,9.0,29.0,22.0,23.0
0cda9,2019-04-29,18-24,2.0,1.0,8,8.0,2.0,24.0,20.0,25.0
0cda9,2019-04-30,00-06,0.0,0.0,7,10.0,0.0,9.0,8.0,8.0
0cda9,2019-04-30,06-12,2.0,19.0,7,22.0,8.0,28.0,17.0,24.0
0cda9,2019-04-30,12-18,2.0,4.0,0,18.0,4.0,21.0,13.0,35.0
0cda9,2019-04-30,18-24,4.0,4.0,6,14.0,2.0,24.0,18.0,32.0
0cda9,2019-05-01,00-06,0.0,1.0,12,16.0,0.0,11.0,10.0,11.0
0cda9,2019-05-01,06-12,4.0,25.0,12,18.0,8.0,34.0,18.0,21.0
0cda9,2019-05-01,12-18,0.0,4.0,0,10.0,8.0,23.0,13.0,23.0
0cda9,2019-05-01,18-24,4.0,5.0,5,12.0,2.0,21.0,21.0,17.0
0cda9,2019-05-02,00-06,0.0,0.0,8,8.0,0.0,8.0,6.0,2.0
