id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-06-27,18-24,4.0,7.0,2.0,22.0,22.0,19.0,35.0
d93d8,2019-06-28,00-06,10.0,42.0,0.0,10.0,25.0,11.0,11.0
d93d8,2019-06-28,06-12,16.0,27.0,10.0,22.0,32.0,26.0,12.0
d93d8,2019-06-28,12-18,9.0,9.0,2.0,72.0,46.0,54.0,27.0
d93d8,2019-06-28,18-24,8.0,8.0,0.0,32.0,38.0,33.0,52.0
d93d8,2019-06-29,00-06,8.0,50.0,0.0,16.0,19.0,16.0,13.0
d93d8,2019-06-29,06-12,10.0,13.0,0.0,20.0,36.0,23.0,20.0
d93d8,2019-06-29,12-18,13.0,5.0,0.0,36.0,41.0,41.0,36.0
d93d8,2019-06-29,18-24,5.0,7.0,0.0,36.0,24.0,32.0,31.0
d93d8,2019-06-30,00-06,8.0,49.0,0.0,14.0,22.0,19.0,20.0
d93d8,2019-06-30,06-12,23.0,44.0,0.0,26.0,77.0,55.0,30.0
d93d8,2019-06-30,12-18,2.0,6.0,4.0,10.0,10.0,13.0,10.0
d93d8,2019-06-30,18-24,11.0,10.0,0.0,10.0,27.0,19.0,39.0
