id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-05-29,12,0.0,0.0,0.0,1.0,0.0
16f4b,2019-05-29,13,1.0,0.0,0.0,5.0,8.0
16f4b,2019-05-29,14,2.0,0.0,0.0,7.0,8.0
16f4b,2019-05-29,15,0.0,0.0,0.0,1.0,5.0
16f4b,2019-05-29,16,2.0,0.0,2.0,5.0,3.0
16f4b,2019-05-29,17,3.0,0.0,4.0,10.0,7.0
16f4b,2019-05-29,18,8.0,0.0,0.0,11.0,10.0
16f4b,2019-05-29,19,7.0,0.0,0.0,9.0,10.0
16f4b,2019-05-29,20,3.0,0.0,0.0,4.0,7.0
16f4b,2019-05-29,21,5.0,0.0,2.0,9.0,16.0
16f4b,2019-05-29,22,4.0,0.0,2.0,6.0,6.0
16f4b,2019-05-29,23,2.0,0.0,0.0,5.0,3.0
16f4b,2019-05-30,0,0.0,0.0,0.0,2.0,5.0
16f4b,2019-05-30,2,1.0,0.0,0.0,6.0,2.0
16f4b,2019-05-30,3,0.0,0.0,0.0,2.0,0.0
16f4b,2019-05-30,7,7.0,0.0,2.0,10.0,11.0
16f4b,2019-05-30,8,3.0,0.0,6.0,9.0,2.0
16f4b,2019-05-30,9,12.0,0.0,6.0,15.0,12.0
16f4b,2019-05-30,10,7.0,0.0,2.0,12.0,6.0
16f4b,2019-05-30,11,3.0,0.0,6.0,7.0,7.0
16f4b,2019-05-30,12,12.0,0.0,4.0,14.0,10.0
16f4b,2019-05-30,13,2.0,0.0,0.0,3.0,4.0
16f4b,2019-05-30,14,1.0,0.0,0.0,3.0,1.0
16f4b,2019-05-30,15,2.0,0.0,2.0,6.0,5.0
16f4b,2019-05-30,16,4.0,0.0,12.0,9.0,11.0
16f4b,2019-05-30,17,2.0,0.0,6.0,7.0,4.0
16f4b,2019-05-30,18,8.0,0.0,4.0,9.0,10.0
16f4b,2019-05-30,19,6.0,0.0,2.0,8.0,9.0
16f4b,2019-05-30,20,3.0,0.0,4.0,7.0,4.0
16f4b,2019-05-30,21,10.0,0.0,10.0,11.0,15.0
16f4b,2019-05-30,22,1.0,0.0,0.0,9.0,5.0
16f4b,2019-05-30,23,0.0,0.0,0.0,3.0,1.0
